"","tissue_pixels","noise_pixels"
"1",FALSE,TRUE
"2",TRUE,FALSE
"3",TRUE,FALSE
"4",TRUE,FALSE
"5",TRUE,FALSE
"6",TRUE,FALSE
"7",TRUE,FALSE
"8",TRUE,FALSE
"9",TRUE,FALSE
"10",TRUE,FALSE
"11",TRUE,FALSE
"12",TRUE,FALSE
"13",TRUE,FALSE
"14",TRUE,FALSE
"15",TRUE,FALSE
"16",TRUE,FALSE
"17",TRUE,FALSE
"18",TRUE,FALSE
"19",TRUE,FALSE
"20",TRUE,FALSE
"21",TRUE,FALSE
"22",TRUE,FALSE
"23",TRUE,FALSE
"24",TRUE,FALSE
"25",TRUE,FALSE
"26",TRUE,FALSE
"27",TRUE,FALSE
"28",TRUE,FALSE
"29",TRUE,FALSE
"30",TRUE,FALSE
"31",TRUE,FALSE
"32",TRUE,FALSE
"33",TRUE,FALSE
"34",TRUE,FALSE
"35",TRUE,FALSE
"36",TRUE,FALSE
"37",TRUE,FALSE
"38",TRUE,FALSE
"39",TRUE,FALSE
"40",TRUE,FALSE
"41",TRUE,FALSE
"42",TRUE,FALSE
"43",TRUE,FALSE
"44",TRUE,FALSE
"45",TRUE,FALSE
"46",TRUE,FALSE
"47",TRUE,FALSE
"48",TRUE,FALSE
"49",TRUE,FALSE
"50",TRUE,FALSE
"51",TRUE,FALSE
"52",TRUE,FALSE
"53",TRUE,FALSE
"54",TRUE,FALSE
"55",TRUE,FALSE
"56",TRUE,FALSE
"57",TRUE,FALSE
"58",TRUE,FALSE
"59",TRUE,FALSE
"60",TRUE,FALSE
"61",TRUE,FALSE
"62",TRUE,FALSE
"63",TRUE,FALSE
"64",TRUE,FALSE
"65",TRUE,FALSE
"66",TRUE,FALSE
"67",TRUE,FALSE
"68",TRUE,FALSE
"69",TRUE,FALSE
"70",TRUE,FALSE
"71",TRUE,FALSE
"72",TRUE,FALSE
"73",TRUE,FALSE
"74",TRUE,FALSE
"75",TRUE,FALSE
"76",TRUE,FALSE
"77",TRUE,FALSE
"78",TRUE,FALSE
"79",TRUE,FALSE
"80",TRUE,FALSE
"81",TRUE,FALSE
"82",TRUE,FALSE
"83",TRUE,FALSE
"84",TRUE,FALSE
"85",TRUE,FALSE
"86",TRUE,FALSE
"87",TRUE,FALSE
"88",TRUE,FALSE
"89",TRUE,FALSE
"90",TRUE,FALSE
"91",TRUE,FALSE
"92",TRUE,FALSE
"93",TRUE,FALSE
"94",TRUE,FALSE
"95",TRUE,FALSE
"96",TRUE,FALSE
"97",TRUE,FALSE
"98",TRUE,FALSE
"99",TRUE,FALSE
"100",TRUE,FALSE
"101",TRUE,FALSE
"102",TRUE,FALSE
"103",TRUE,FALSE
